Date,Open,High,Low,Close,Volume
9/7/2016 16:00:00,10886.51,10898.76,10856.76,10890.18,0
9/8/2016 16:00:00,10879.97,10903.86,10857.23,10882.33,0
9/9/2016 16:00:00,10799.13,10799.13,10613.53,10613.53,0
9/12/2016 16:00:00,10741.26,10741.26,10741.26,10741.26,0
9/13/2016 16:00:00,10644.47,10644.47,10502.32,10535.36,0
9/14/2016 16:00:00,10533.71,10596.46,10487.8,10511.4,0
9/15/2016 16:00:00,10501.32,10625.81,10491.09,10602.95,0
9/16/2016 16:00:00,10554.1,10554.1,10498.35,10532.27,0
9/19/2016 16:00:00,10533.42,10625.69,10533.42,10564.3,0
9/20/2016 16:00:00,10608.56,10620.36,10558.36,10560.26,0
9/21/2016 16:00:00,10605.1,10716.58,10584.34,10708.37,0
9/22/2016 16:00:00,10769.38,10818.11,10769.38,10793.66,0
9/23/2016 16:00:00,10793.66,10793.66,10712.88,10717.99,0
9/26/2016 16:00:00,10675.25,10678.12,10621.06,10624.88,0
9/27/2016 16:00:00,10600.15,10676.86,10587.93,10665.34,0
9/28/2016 16:00:00,10665.58,10757.79,10623.21,10753.45,0
9/29/2016 16:00:00,10742.08,10764.27,10614.04,10643.52,0
9/30/2016 16:00:00,10679.07,10758.01,10668.34,10721.74,0
10/3/2016 16:00:00,10721.86,10721.86,10658.56,10690.77,0
10/4/2016 16:00:00,10705.86,10712.58,10597.04,10629.15,0
10/5/2016 16:00:00,10666.41,10703.92,10664.15,10683.94,0
10/6/2016 16:00:00,10664.54,10684.9,10627.7,10675.74,0
10/7/2016 16:00:00,10680.47,10689.42,10579.63,10626.92,0
10/10/2016 16:00:00,10671.22,10711.83,10671.22,10682.67,0
10/11/2016 16:00:00,10656.22,10656.22,10510.61,10548,0
10/12/2016 16:00:00,10546.01,10587.46,10525.56,10560.27,0
10/13/2016 16:00:00,10487.62,10551.5,10425.91,10522.95,0
10/14/2016 16:00:00,10579.77,10606.67,10521.3,10521.3,0
10/17/2016 16:00:00,10516.3,10531.46,10481.59,10492.86,0
10/18/2016 16:00:00,10578.89,10583.83,10539.8,10567.81,0
10/19/2016 16:00:00,10580.45,10623.3,10561.13,10600.92,0
10/20/2016 16:00:00,10587.83,10626.44,10560.98,10589.24,0
10/21/2016 16:00:00,10545.12,10580.15,10522.32,10571.88,0
10/24/2016 16:00:00,10610.58,10629.63,10567.24,10591.3,0
10/25/2016 16:00:00,10575.2,10590.59,10542.63,10550.19,0
10/26/2016 16:00:00,10505.99,10558.75,10497.38,10528.19,0
10/27/2016 16:00:00,10561.54,10562.91,10495.87,10503.06,0
10/28/2016 16:00:00,10495.31,10538.21,10447.25,10476.62,0
10/31/2016 16:00:00,10476.92,10505.99,10465.42,10481.89,0
11/1/2016 16:00:00,10508.01,10513.53,10354.86,10414.05,0
11/2/2016 16:00:00,10389.95,10407.32,10316.44,10334.5,0
11/3/2016 16:00:00,10350.62,10370.27,10292.95,10307.64,0
11/4/2016 16:00:00,10308.31,10352.98,10281.48,10289.35,0
11/7/2016 16:00:00,10416.34,10500.19,10416.34,10500.16,0
11/8/2016 16:00:00,10462.84,10563.51,10454.35,10530.56,0
11/9/2016 16:00:00,10477.79,10679.69,10474.73,10643.41,0
11/10/2016 16:00:00,10678.97,10735,10617.84,10683.41,0
11/11/2016 16:00:00,10644.56,10660.98,10585.63,10652.24,0
11/14/2016 16:00:00,10660.45,10695.57,10633.98,10679.77,0
11/15/2016 16:00:00,10680.42,10745.53,10664.85,10745.51,0
11/16/2016 16:00:00,10705.47,10719.89,10677.27,10699.43,0
11/17/2016 16:00:00,10717.88,10759.15,10717.68,10740.08,0
11/18/2016 16:00:00,10725.35,10735.1,10695.22,10709.51,0
11/21/2016 16:00:00,10753.25,10793.37,10752.08,10791.84,0
11/22/2016 16:00:00,10793.34,10828.27,10768.6,10820.18,0
11/23/2016 16:00:00,10772.61,10837.23,10768.8,10835.91,0
11/25/2016 16:00:00,10854.69,10878.1,10852.89,10878.09,0
11/28/2016 16:00:00,10857.47,10864.77,10803.09,10808.63,0
11/29/2016 16:00:00,10798.92,10842.28,10786.4,10817.7,0
11/30/2016 16:00:00,10872.38,10890.04,10838.45,10838.46,0
12/1/2016 16:00:00,10860.42,10876.39,10812.75,10828.99,0
12/2/2016 16:00:00,10828.99,10867.7,10821.21,10838.58,0
12/5/2016 16:00:00,10890.15,10923.91,10888.72,10910.9,0
12/6/2016 16:00:00,10923.58,10973.92,10902.26,10970.78,0
12/7/2016 16:00:00,10977.41,11118,10974.2,11114.61,0
12/8/2016 16:00:00,11114.32,11176.63,11094.79,11149.96,0
12/9/2016 16:00:00,11153.1,11194.23,11152.68,11191.79,0
12/12/2016 16:00:00,11200.2,11227.3,11163.2,11177.28,0
12/13/2016 16:00:00,11216.83,11256.07,11189.43,11237.17,0
12/14/2016 16:00:00,11214.03,11234,11087.02,11098.67,0
12/15/2016 16:00:00,11087.13,11170.65,11086.39,11131.89,0
12/16/2016 16:00:00,11152.21,11162.94,11109.59,11125.22,0
12/19/2016 16:00:00,11127,11150.31,11110.59,11128.54,0
12/20/2016 16:00:00,11145.29,11176.68,11145.29,11172.19,0
12/21/2016 16:00:00,11170.41,11174.4,11142.57,11142.57,0
12/22/2016 16:00:00,11127.78,11127.78,11100.93,11114.14,0
12/23/2016 16:00:00,11111.51,11128.86,11110.06,11128.8,0
12/27/2016 16:00:00,11153.57,11157.75,11144.12,11146.4,0
12/28/2016 16:00:00,11148.32,11149.79,11057.15,11058.88,0
12/29/2016 16:00:00,11071.11,11092.48,11057.67,11074.33,0
12/30/2016 16:00:00,11056.89,11056.89,11056.89,11056.89,0
1/3/2017 16:00:00,11138.85,11176.91,11094.29,11154.35,0
1/4/2017 16:00:00,11186.78,11252.63,11186.78,11246.54,0
1/5/2017 16:00:00,11243.12,11264.17,11209.63,11247.69,0
1/6/2017 16:00:00,11235.44,11260.84,11205.3,11237.62,0
1/9/2017 16:00:00,11209.71,11209.71,11169.76,11169.79,0
1/10/2017 16:00:00,11181.74,11229.51,11171.58,11183.33,0
1/11/2017 16:00:00,11181.93,11226.8,11154.01,11226.78,0
1/12/2017 16:00:00,11213.9,11214.58,11136.19,11204.15,0
1/13/2017 16:00:00,11218.05,11244.32,11212.08,11227.17,0
1/17/2017 16:00:00,11209.72,11221.9,11176.5,11196.29,0
1/18/2017 16:00:00,11187.33,11203.43,11166.79,11196.1,0
1/19/2017 16:00:00,11195.83,11203.38,11118.47,11148.85,0
1/20/2017 16:00:00,11175.52,11208.21,11160.59,11192.79,0
1/23/2017 16:00:00,11178.43,11188.58,11130.05,11170.62,0
1/24/2017 16:00:00,11183.56,11269.64,11180.78,11249.28,0
1/25/2017 16:00:00,11297.43,11343.78,11294.76,11339.05,0
1/26/2017 16:00:00,11335.72,11344.74,11303.06,11313.12,0
1/27/2017 16:00:00,11283.18,11283.18,11283.18,11283.18,0
1/30/2017 16:00:00,11228.36,11229.26,11147.11,11205.24,0
1/31/2017 16:00:00,11195.53,11225.94,11166.21,11222.95,0
